id,uploader,modifier,source_name,regulator_symbol,regulator_locus_tag,condition,data_usable,preferred_replicate,batch,lab,assay,source_orig_id,upload_date,modified_date,file,single_binding,composite_binding,promoter,background,fileformat
262,chasem,chasem,harbison_chip,STB2,YMR053C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:12.701674-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/262.csv.gz,262,NA,NA,NA,1
266,chasem,chasem,harbison_chip,MOT3,YMR070W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:15.436347-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/266.csv.gz,266,NA,NA,NA,1
267,chasem,chasem,harbison_chip,RCO1,YMR075W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:16.408653-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/267.csv.gz,267,NA,NA,NA,1
269,chasem,chasem,harbison_chip,MSS11,YMR164C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:17.997986-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/269.csv.gz,269,NA,NA,NA,1
270,chasem,chasem,harbison_chip,RGM1,YMR182C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:18.814302-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/270.csv.gz,270,NA,NA,NA,1
271,chasem,chasem,harbison_chip,CRZ1,YNL027W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:19.529931-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/271.csv.gz,271,NA,NA,NA,1
274,chasem,chasem,harbison_chip,FKH2,YNL068C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:21.911397-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/274.csv.gz,274,NA,NA,NA,1
276,chasem,chasem,harbison_chip,MET4,YNL103W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:23.739520-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/276.csv.gz,276,NA,NA,NA,1
277,chasem,chasem,harbison_chip,KRE33,YNL132W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:24.354748-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/277.csv.gz,277,NA,NA,NA,1
278,chasem,chasem,harbison_chip,THO2,YNL139C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:25.272065-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/278.csv.gz,278,NA,NA,NA,1
